,Shortest,Common,Jaccard,PA1,PA2,katz
"(8633, 38734)",0.0,0,182,0.0,0.03979884804757686,-100
"(39073, 38102)",0.0,0,16,0.0,0.026105260786530315,-100
"(38043, 38201)",0.0,0,108,0.0,0.023330145224154067,-5
"(21831, 49192)",0.0,0,0,0.0,0.015258698535195715,-100
"(38287, 38307)",0.0,0,80,0.0,0.04372700743594618,-100
"(1841, 1846)",0.0,0,0,0.0,0.015258698535195715,-100
"(14371, 38676)",0.0,0,8,0.0,0.021288918152894045,-100
"(48259, 38236)",0.0,0,0,0.0,0.03160034834805949,-100
"(8412, 38821)",0.0,0,44,0.0,0.0267255890688119,-100
"(38747, 700)",0.0,0,20,0.0,0.03352869813642585,-100
"(8446, 8506)",0.0,0,130,0.0,0.021569651236191985,-100
"(38095, 38205)",0.07407407407407407,2,204,0.7248994379511449,0.03290275626287601,-2
"(19345, 19346)",0.0,0,0,0.0,0.015258698535195715,-100
"(38042, 38104)",0.08333333333333333,2,169,0.7213585932856457,0.02220334925879425,-100
"(8493, 38184)",0.0,0,81,0.0,0.02625453816016999,-100
"(38738, 9835)",0.0,0,0,0.0,0.02536979090678594,-100
"(38750, 38238)",0.0,0,210,0.0,0.04312660622812859,-100
"(1033, 45056)",0.0,0,0,0.0,0.015258698535195715,-100
"(38578, 38757)",0.0,0,154,0.0,0.028282339339098714,-6
"(2845, 24451)",0.0,0,0,0.0,0.01678456838871529,-100
"(49307, 38142)",0.0,0,30,0.0,0.02433128005454719,-100
"(38109, 38186)",0.0,0,56,0.0,0.0248360368941989,-100
"(25927, 39555)",0.0,0,0,0.0,0.018386731734910837,-100
"(38004, 38728)",0.0,0,144,0.0,0.02597679073878508,-100
"(38578, 8620)",0.0,0,154,0.0,0.028041543534118373,-100
"(8423, 8628)",0.0,0,84,0.0,0.02613294727540822,-4
"(46721, 46725)",0.0,0,0,0.0,0.016021633461955502,-100
"(38724, 38726)",0.0,0,156,0.0,0.030270243629484862,-100
"(15404, 17014)",0.0,0,1,0.0,0.016021633461955502,-100
"(7251, 8636)",0.0,0,0,0.0,0.027037388900474246,-100
"(8413, 8524)",0.0,0,77,0.0,0.01883838921155263,-100
"(17106, 3430)",0.0,0,8,0.0,0.01678456838871529,-100
"(38519, 38637)",0.0,0,240,0.0,0.02251714202907228,-100
"(8505, 8508)",0.08695652173913043,2,156,0.8833279513448324,0.028305300209040263,-100
"(8421, 8616)",0.0,0,96,0.0,0.025804988626954736,-4
"(38052, 3061)",0.0,0,10,0.0,0.016021633461955502,-100
"(1172, 38623)",0.0,0,0,0.0,0.024247023741376477,-100
"(38120, 38673)",0.0,0,70,0.0,0.021234828851299258,-100
"(8469, 50189)",0.0,0,20,0.0,0.018654598187696197,-100
"(20780, 25060)",0.0,0,0,0.0,0.015258698535195715,-100
"(38152, 11353)",0.0,0,17,0.0,0.02403956932946858,-100
"(24785, 29416)",0.0,0,0,0.0,0.015258698535195715,-100
"(12938, 38014)",0.0,0,100,0.0,0.016114711523020193,-100
"(8595, 50796)",0.0,0,7,0.0,0.020815023907849686,-100
"(33726, 38699)",0.0,0,12,0.0,0.021447836620762942,-100
"(38600, 38717)",0.0,0,306,0.0,0.024937238320154965,-4
"(38111, 38275)",0.0,0,110,0.0,0.033689208887633645,-3
"(43389, 38274)",0.0,0,10,0.0,0.024799290652247265,-100
"(832, 19788)",0.0,0,0,0.0,0.015258698535195715,-100
"(38074, 38258)",0.0,0,132,0.0,0.03136355240490772,-4
"(8141, 8142)",0.0,0,0,0.0,0.015258698535195715,-100
"(52826, 38691)",0.0,0,17,0.0,0.026313278702175112,-100
"(8453, 38760)",0.0,0,96,0.0,0.025311587860066063,-100
"(8632, 38854)",0.0,0,399,0.0,0.07365495699177332,-100
"(38534, 38600)",0.0625,2,288,0.7127313823852852,0.01847828392612201,-100
"(5266, 24830)",0.0,0,0,0.0,0.015258698535195715,-100
"(18873, 18874)",0.0,0,0,0.0,0.015258698535195715,-100
"(38670, 38825)",0.04,1,169,0.32351545314867247,0.033399777766340094,-4
"(4861, 38294)",0.0,0,11,0.0,0.03138597895337332,-100
"(38700, 42554)",0.0,0,14,0.0,0.023277865009116307,-100
"(38086, 38215)",0.0,0,224,0.0,0.03515480292993627,-5
"(4696, 38294)",0.0,0,22,0.0,0.03138597895337332,-100
"(49107, 49832)",0.0,0,1,0.0,0.016021633461955502,-100
"(38844, 8352)",0.0,0,26,0.0,0.029670751862988017,-100
"(7457, 24900)",0.0,0,0,0.0,0.015258698535195715,-100
"(32547, 38284)",0.0,0,0,0.0,0.03843244438053946,-100
"(38826, 38847)",0.03333333333333333,1,240,0.40242960438184466,0.053381428093675465,-100
"(38585, 52405)",0.0,0,15,0.0,0.02149805665972992,-100
"(38613, 38556)",0.0,0,234,0.0,0.020044825840587147,-100
"(8430, 8450)",0.0,0,84,0.0,0.020386384177948233,-100
"(38007, 38763)",0.0,0,182,0.0,0.028795005303885016,-100
"(5403, 41508)",0.0,0,2,0.0,0.016021633461955502,-100
"(38511, 38701)",0.0,0,288,0.0,0.025442208812103573,-3
"(3975, 25928)",0.0,0,0,0.0,0.016021633461955502,-100
"(38121, 23665)",0.0,0,13,0.0,0.021796440585879165,-100
"(3755, 8496)",0.0,0,9,0.0,0.022569141003407983,-100
"(1135, 1136)",0.0,0,0,0.0,0.015258698535195715,-100
"(643, 52226)",0.0,0,3,0.0,0.01609792695463148,-100
"(38001, 642)",0.0,0,0,0.0,0.01609792695463148,-100
"(25607, 47014)",0.0,0,4,0.0,0.017547503315475076,-100
"(3919, 31032)",0.0,0,1,0.0,0.01609792695463148,-100
"(8482, 14390)",0.0,0,13,0.0,0.019317512345557775,-100
"(9237, 9420)",0.0,0,0,0.0,0.016021633461955502,-100
"(31792, 38803)",0.03225806451612903,1,247,0.36067376022224085,0.026338465877267746,-2
"(38245, 52675)",0.0,0,24,0.0,0.031205565030452798,-100
"(38202, 38793)",0.0,0,126,0.0,0.03814168940693165,-100
"(38043, 38270)",0.0,0,156,0.0,0.028351749602348066,-4
"(38164, 38286)",0.047619047619047616,1,121,0.36067376022224085,0.0371209746527249,-2
"(38223, 38606)",0.0,0,494,0.0,0.04163927451419378,-100
"(38178, 38234)",0.10344827586206896,3,252,1.182487036662058,0.03598026153360511,-2
"(8247, 38839)",0.030303030303030304,1,288,0.3789231816899512,0.038938877510294845,-2
"(38685, 24021)",0.0,0,20,0.0,0.0214833674997469,-100
"(37987, 38827)",0.0,0,255,0.0,0.0377601630602341,-100
"(38679, 38752)",0.0,0,252,0.0,0.03551323211599694,-100
"(51407, 38346)",0.0,0,1,0.0,0.016021633461955502,-100
"(33535, 40435)",0.0,0,0,0.0,0.015258698535195715,-100
"(8527, 8666)",0.0,0,56,0.0,0.026629176264958438,-4
"(38554, 38865)",0.0,0,209,0.0,0.04290154113426392,-3
"(12398, 34100)",0.0,0,0,0.0,0.015258698535195715,-100
"(28090, 38830)",0.0,0,16,0.0,0.03626304617180916,-100
"(38048, 38056)",0.0,0,285,0.0,0.023993862470207596,-100
"(15256, 15257)",0.0,0,0,0.0,0.015258698535195715,-100
"(8493, 8593)",0.0,0,63,0.0,0.02236688481810617,-100
"(40293, 40294)",0.0,0,0,0.0,0.015258698535195715,-100
"(38654, 38671)",0.0,0,176,0.0,0.02867555444396346,-100
"(35954, 38285)",0.0,0,14,0.0,0.030546040653505607,-100
"(35494, 38129)",0.0,0,22,0.0,0.02051760898535092,-100
"(38041, 38156)",0.047619047619047616,1,121,0.3789231816899512,0.024879263329943398,-2
"(8247, 38657)",0.0,0,128,0.0,0.019694198495751665,-3
"(17096, 42412)",0.0,0,0,0.0,0.015258698535195715,-100
"(38516, 11824)",0.0,0,12,0.0,0.016113185653166676,-100
"(3232, 9864)",0.0,0,0,0.0,0.01678456838871529,-100
"(38082, 38309)",0.0,0,234,0.0,0.04753556039433303,-4
"(38817, 38210)",0.0,0,128,0.0,0.039830480832622125,-100
"(33086, 48115)",0.0,0,0,0.0,0.015258698535195715,-100
"(19076, 34847)",0.0,0,2,0.0,0.01678456838871529,-100
"(4994, 47252)",0.0,0,0,0.0,0.015258698535195715,-100
"(1928, 17100)",0.0,0,8,0.0,0.016021633461955502,-100
"(1643, 38237)",0.0,0,165,0.0,0.030399743311319203,-3
"(37984, 38135)",0.0,0,96,0.0,0.02008652504082461,-100
"(38781, 38842)",0.024390243902439025,1,441,0.3396232718951086,0.06430686748629813,-4
"(8519, 8637)",0.0,0,91,0.0,0.028778705603530307,-100
"(907, 27403)",0.0,0,2,0.0,0.016021633461955502,-100
"(38570, 38808)",0.0,0,96,0.0,0.02748767762608134,-5
"(8456, 38792)",0.0,0,220,0.0,0.02937084195254501,-100
"(38763, 38824)",0.045454545454545456,1,130,0.36926937306885504,0.04335671535182127,-3
"(8583, 40547)",0.0,0,24,0.0,0.025429554483493058,-100
"(44240, 50615)",0.0,0,0,0.0,0.015258698535195715,-100
"(38556, 38674)",0.0,0,169,0.0,0.022632231449415428,-100
"(586, 51539)",0.0,0,16,0.0,0.016021633461955502,-100
"(5534, 25170)",0.0,0,0,0.0,0.016021633461955502,-100
"(12473, 41327)",0.0,0,0,0.0,0.015258698535195715,-100
"(38788, 38859)",0.0,0,272,0.0,0.055967220568153314,-100
"(38606, 38874)",0.025,1,390,0.35295612386476116,0.041980817348717156,-2
"(11504, 13549)",0.0,0,4,0.0,0.016021633461955502,-100
"(38211, 8522)",0.0,0,126,0.0,0.027438980153459643,-100
"(30512, 30513)",0.0,0,0,0.0,0.015258698535195715,-100
"(9317, 9321)",0.0,0,0,0.0,0.015258698535195715,-100
"(8432, 8661)",0.0,0,84,0.0,0.02571936304395357,-3
"(12584, 9176)",0.0,0,2,0.0,0.016021633461955502,-100
"(27405, 27418)",0.0,0,0,0.0,0.015258698535195715,-100
"(8601, 8642)",0.047619047619047616,1,117,0.48089834696298783,0.035710705042628695,-100
"(3764, 20300)",0.0,0,1,0.0,0.016021633461955502,-100
"(38670, 38714)",0.0625,2,273,0.688198361972656,0.03625242298196611,-2
"(38768, 38854)",0.0,0,357,0.0,0.06709626993595856,-5
"(38117, 10039)",0.0,0,14,0.0,0.0200133089987627,-100
"(8463, 12513)",0.0,0,12,0.0,0.017631426157418653,-100
"(38746, 38859)",0.034482758620689655,1,224,0.36067376022224085,0.05089740036578622,-2
"(26789, 38843)",0.0,0,195,0.0,0.03132694182804477,-4
"(9417, 52618)",0.0,0,0,0.0,0.016021633461955502,-100
"(38670, 20515)",0.0,0,13,0.0,0.021332388567598774,-100
"(38042, 38190)",0.0,0,104,0.0,0.022490467252942056,-6
"(11058, 38772)",0.0,0,7,0.0,0.02123176836835796,-100
"(8615, 8670)",0.0,0,96,0.0,0.037134284792569104,-100
"(38611, 8442)",0.0,0,209,0.0,0.02184000409390366,-100
"(8499, 8641)",0.0,0,130,0.0,0.03553438857617257,-3
"(929, 7161)",0.0,0,0,0.0,0.015258698535195715,-100
"(31314, 31317)",0.0,0,0,0.0,0.015258698535195715,-100
"(8472, 8481)",0.0,0,84,0.0,0.01980136567610883,-100
"(38023, 38268)",0.03571428571428571,1,210,0.36926937306885504,0.03334595593447194,-2
"(38035, 14408)",0.0,0,18,0.0,0.018546948069530392,-100
"(4214, 4215)",0.0,0,0,0.0,0.015258698535195715,-100
"(36389, 36391)",0.0,0,6,0.0,0.018463025227586815,-100
"(25956, 47874)",0.0,0,0,0.0,0.015258698535195715,-100
"(38866, 51354)",0.0,0,15,0.0,0.0414079537430265,-100
"(30985, 25917)",0.0,0,3,0.0,0.01678456838871529,-100
"(10686, 52223)",0.0,0,1,0.0,0.016021633461955502,-100
"(48779, 48780)",0.0,0,1,0.0,0.01678456838871529,-100
"(38792, 38659)",0.0,0,143,0.0,0.033690701119686244,-100
"(38118, 39339)",0.0,0,0,0.0,0.020530358436688097,-100
"(8453, 8616)",0.0,0,64,0.0,0.027330858480474306,-4
"(38138, 22212)",0.0,0,26,0.0,0.021728364291461202,-100
"(8556, 8558)",0.0,0,80,0.0,0.028123383525565152,-100
"(37992, 38287)",0.0,0,70,0.0,0.0308607207552502,-3
"(38009, 38148)",0.03333333333333333,1,240,0.35295612386476116,0.026198970328833893,-3
"(38069, 38191)",0.0,0,88,0.0,0.023018959333856632,-6
"(6708, 42651)",0.0,0,0,0.0,0.015258698535195715,-100
"(8469, 38816)",0.0,0,160,0.0,0.0375133182875402,-100
"(8493, 41607)",0.0,0,18,0.0,0.01856296970299235,-100
"(38665, 38702)",0.0,0,289,0.0,0.029652792603692565,-100
"(37903, 33153)",0.0,0,0,0.0,0.015258698535195715,-100
"(8554, 13250)",0.0,0,12,0.0,0.02459590810796633,-100
"(38767, 38788)",0.030303030303030304,1,289,0.36926937306885504,0.04458666057703996,-100
"(38051, 38233)",0.08333333333333333,2,168,0.8080757371781798,0.028065700106194545,-2
"(38117, 38208)",0.04,1,168,0.3898712452512801,0.027119243067251962,-100
"(4783, 21730)",0.0,0,3,0.0,0.016021633461955502,-100
"(38528, 38308)",0.0,0,272,0.0,0.044710260589896564,-100
"(38570, 38815)",0.0,0,96,0.0,0.026595037108979827,-3
"(8573, 8618)",0.0,0,60,0.0,0.025480718501844916,-100
"(29237, 29238)",0.0,0,0,0.0,0.015258698535195715,-100
"(38051, 38168)",0.0,0,228,0.0,0.031072763427290234,-4
"(815, 39011)",0.0,0,4,0.0,0.016021633461955502,-100
"(2708, 2711)",0.0,0,0,0.0,0.015258698535195715,-100
"(38812, 5864)",0.0,0,19,0.0,0.03440350845993347,-100
"(38090, 43873)",0.0,0,13,0.0,0.023323410667856617,-100
"(50144, 38863)",0.0,0,16,0.0,0.03946863750513485,-100
"(38631, 38795)",0.0,0,360,0.0,0.043964736379849226,-3
"(15316, 50909)",0.0,0,1,0.0,0.016021633461955502,-100
"(38238, 8625)",0.0,0,285,0.0,0.050118105085345054,-100
"(38619, 38680)",0.0,0,209,0.0,0.03131818040541545,-3
"(11337, 38794)",0.041666666666666664,1,136,0.36926937306885504,0.035933367463675245,-2
"(38006, 38205)",0.0,0,96,0.0,0.023297577149552735,-3
"(38139, 38303)",0.0,0,72,0.0,0.03414787505835077,-7
"(12074, 25678)",0.0,0,0,0.0,0.016021633461955502,-100
"(38195, 38762)",0.0,0,88,0.0,0.030175982630186882,-100
"(20253, 20268)",0.0,0,0,0.0,0.015258698535195715,-100
"(26686, 38275)",0.0,0,0,0.0,0.028403014648542932,-100
"(4993, 18391)",0.0,0,0,0.0,0.016021633461955502,-100
"(38209, 35945)",0.0,0,17,0.0,0.028583251067023398,-100
"(38725, 42012)",0.0,0,26,0.0,0.024134341189993525,-100
"(8457, 8565)",0.0,0,90,0.0,0.02135489512505014,-100
"(14695, 44166)",0.0,0,3,0.0,0.016021633461955502,-100
"(26890, 26891)",0.0,0,0,0.0,0.015258698535195715,-100
"(5930, 36008)",0.0,0,0,0.0,0.016021633461955502,-100
"(42006, 38710)",0.0,0,16,0.0,0.024925656044815492,-100
"(37258, 38790)",0.0,0,24,0.0,0.039917004390032096,-100
"(38627, 38869)",0.0,0,140,0.0,0.03766445610088683,-5
"(19394, 38276)",0.0,0,10,0.0,0.03137267790771345,-100
"(20597, 20598)",0.0,0,0,0.0,0.016021633461955502,-100
"(17275, 46748)",0.0,0,1,0.0,0.016021633461955502,-100
"(16812, 36684)",0.0,0,0,0.0,0.015258698535195715,-100
"(29593, 38553)",0.0,0,198,0.0,0.020894575132662928,-3
"(38659, 38827)",0.034482758620689655,1,221,0.5138983423697507,0.04284295715413512,-2
"(1025, 38293)",0.0,0,9,0.0,0.030724690586952624,-100
"(38746, 38791)",0.037037037037037035,1,196,0.36067376022224085,0.04382434586297018,-2
"(38180, 38255)",0.03125,1,266,0.36926937306885504,0.04705141653053252,-100
"(38540, 38822)",0.030303030303030304,1,285,0.4170323914242463,0.029505344107141927,-2
"(8418, 42039)",0.0,0,0,0.0,0.015258698535195715,-100
"(38702, 38143)",0.0,0,272,0.0,0.030648137276787335,-100
"(38030, 34506)",0.0,0,13,0.0,0.01797796645985148,-100
"(38675, 38768)",0.0,0,153,0.0,0.0344257545742889,-100
"(38130, 38248)",0.0,0,52,0.0,0.027918418059156874,-100
"(37267, 10086)",0.0,0,1,0.0,0.016021633461955502,-100
"(26906, 29238)",0.0,0,0,0.0,0.015258698535195715,-100
"(20252, 20256)",0.0,0,0,0.0,0.015258698535195715,-100
"(38043, 38159)",0.0,0,192,0.0,0.026474876284703474,-100
"(36931, 39359)",0.0,0,26,0.0,0.016021633461955502,-100
"(36411, 1593)",0.0,0,2,0.0,0.01609792695463148,-100
"(38047, 38828)",0.0,0,153,0.0,0.03564555390938407,-100
"(18366, 46120)",0.0,0,0,0.0,0.015258698535195715,-100
"(38114, 38229)",0.0,0,180,0.0,0.03495701039460501,-5
"(38621, 38701)",0.06666666666666667,2,252,0.6814148626178123,0.026569476446723153,-2
"(38126, 38256)",0.0,0,208,0.0,0.04270587325826346,-4
"(38687, 38264)",0.0,0,221,0.0,0.037432597834434304,-100
"(13489, 32260)",0.0,0,1,0.0,0.016021633461955502,-100
"(7691, 52015)",0.0,0,0,0.0,0.016021633461955502,-100
"(11084, 39584)",0.0,0,4,0.0,0.01678456838871529,-100
"(28115, 38299)",0.0,0,12,0.0,0.03421608921510999,-100
"(8542, 8617)",0.0,0,48,0.0,0.027113355315317778,-100
"(3836, 38569)",0.0,0,182,0.0,0.01709813464361356,-100
"(13668, 24467)",0.0,0,0,0.0,0.015258698535195715,-100
"(30819, 38760)",0.0,0,24,0.0,0.02454865293330628,-100
"(38173, 12881)",0.0,0,0,0.0,0.026623812107635134,-100
"(37990, 38008)",0.045454545454545456,1,130,0.4170323914242463,0.01794422947739016,-100
"(26815, 26817)",0.0,0,0,0.0,0.015258698535195715,-100
"(8473, 7748)",0.0,0,0,0.0,0.016021633461955502,-100
"(45858, 38752)",0.0,0,36,0.0,0.03230535920288472,-100
"(12588, 14629)",0.0,0,0,0.0,0.016860861881391263,-100
"(32439, 38138)",0.0,0,13,0.0,0.02020249443794163,-100
"(10693, 40064)",0.0,0,16,0.0,0.01678456838871529,-100
"(8534, 8569)",0.06666666666666667,1,63,0.36067376022224085,0.022568462952621174,-100
"(8622, 8501)",0.037037037037037035,1,180,0.43429448190325176,0.030342430472330574,-100
"(8461, 8652)",0.0,0,20,0.0,0.020665111573987864,-100
"(25913, 25936)",0.0,0,0,0.0,0.01794575534724368,-100
"(38660, 38790)",0.0,0,384,0.0,0.04498728856364554,-3
"(52288, 38712)",0.0,0,15,0.0,0.026368402162063122,-100
"(5282, 38834)",0.0,0,42,0.0,0.03539396094250934,-100
"(38610, 38280)",0.0,0,168,0.0,0.041046615508978146,-100
"(10012, 15201)",0.0,0,0,0.0,0.016021633461955502,-100
"(7499, 8067)",0.0,0,2,0.0,0.01610555630389908,-100
"(7902, 8440)",0.0,0,10,0.0,0.016190242080769413,-100
"(3074, 3075)",0.0,0,0,0.0,0.015258698535195715,-100
"(8565, 8589)",0.0,0,50,0.0,0.027452467828261308,-100
"(38259, 38294)",0.05263157894736842,1,99,0.36067376022224085,0.04128760620568553,-100
"(27841, 27842)",0.0,0,0,0.0,0.015258698535195715,-100
"(8556, 38064)",0.0,0,200,0.0,0.02816670958535239,-100
"(37986, 38212)",0.043478260869565216,1,144,0.3789231816899512,0.028659279744986298,-2
"(12135, 25088)",0.0,0,1,0.0,0.016021633461955502,-100
"(3281, 36337)",0.0,0,1,0.0,0.016021633461955502,-100
"(27112, 27119)",0.0,0,0,0.0,0.01678456838871529,-100
"(38634, 38836)",0.0,0,130,0.0,0.03746442193304181,-100
"(38179, 38742)",0.0,0,176,0.0,0.04037159619069569,-100
"(38746, 38839)",0.0,0,252,0.0,0.04853832079491589,-100
"(6283, 6284)",0.0,0,0,0.0,0.015258698535195715,-100
"(38013, 38269)",0.10344827586206896,3,256,1.1113222493458084,0.036198767126591265,-2
"(38662, 8663)",0.0,0,324,0.0,0.04735005654341927,-100
"(38763, 17326)",0.0,0,13,0.0,0.028795005303885016,-100
"(32071, 38284)",0.0,0,34,0.0,0.039195379307299244,-100
"(22573, 38095)",0.0,0,17,0.0,0.02486387764851899,-100
"(10107, 10108)",0.0,0,0,0.0,0.016021633461955502,-100
"(38230, 45352)",0.0,0,10,0.0,0.021737054372045518,-100
"(2178, 26543)",0.0,0,10,0.0,0.016021633461955502,-100
"(8421, 8554)",0.0,0,144,0.0,0.023832973181206543,-4
"(26029, 38173)",0.0,0,16,0.0,0.026623812107635134,-100
"(38806, 8663)",0.0,0,324,0.0,0.05686216665171544,-100
"(17096, 17100)",0.0,0,0,0.0,0.016021633461955502,-100
"(589, 8395)",0.0,0,0,0.0,0.015258698535195715,-100
"(38111, 38270)",0.043478260869565216,1,143,0.43429448190325176,0.03363794384143878,-4
"(3674, 38189)",0.0,0,10,0.0,0.024113600567499727,-100
"(10646, 38292)",0.0,0,0,0.0,0.0415332679257059,-100
"(31410, 31417)",0.0,0,0,0.0,0.015258698535195715,-100
"(7734, 38828)",0.0,0,68,0.0,0.034882618982624285,-100
"(1189, 5629)",0.0,0,2,0.0,0.01678456838871529,-100
"(38618, 38676)",0.0,0,120,0.0,0.026919716655488743,-100
"(8408, 38790)",0.0,0,216,0.0,0.039917004390032096,-100
"(15834, 28110)",0.0,0,0,0.0,0.015258698535195715,-100
"(44979, 44980)",0.0,0,0,0.0,0.015258698535195715,-100
"(1915, 1916)",0.0,0,0,0.0,0.015258698535195715,-100
"(1189, 15323)",0.0,0,0,0.0,0.015258698535195715,-100
"(8079, 38745)",0.0,0,10,0.0,0.02393898656744462,-100
"(27795, 27801)",0.0,0,0,0.0,0.017547503315475072,-100
"(29157, 30235)",0.0,0,0,0.0,0.015258698535195715,-100
"(8473, 48022)",0.0,0,0,0.0,0.016021633461955502,-100
"(19953, 43319)",0.0,0,1,0.0,0.016021633461955502,-100
"(8431, 8568)",0.0,0,120,0.0,0.027382737292559047,-5
"(39885, 39886)",0.0,0,0,0.0,0.015258698535195715,-100
"(3560, 38689)",0.0,0,13,0.0,0.025426796511879568,-100
"(34193, 34196)",0.0,0,0,0.0,0.015258698535195715,-100
"(33979, 33980)",0.0,0,0,0.0,0.015258698535195715,-100
"(42124, 42126)",0.0,0,0,0.0,0.015258698535195715,-100
"(8551, 38213)",0.0,0,304,0.0,0.04273553962431109,-100
"(8243, 38770)",0.038461538461538464,1,176,0.3898712452512801,0.030680968472386206,-2
"(38709, 38769)",0.0,0,273,0.0,0.04154068735342839,-100
"(465, 16564)",0.0,0,2,0.0,0.016021633461955502,-100
"(2175, 2855)",0.0,0,0,0.0,0.015258698535195715,-100
"(37986, 38819)",0.0,0,180,0.0,0.03392951858099605,-100
"(34155, 34159)",0.0,0,0,0.0,0.015258698535195715,-100
"(32126, 38671)",0.0,0,165,0.0,0.020871518651716353,-100
"(15328, 8344)",0.0,0,1,0.0,0.016021633461955502,-100
"(37294, 37295)",0.0,0,0,0.0,0.016021633461955502,-100
"(10570, 38787)",0.0,0,15,0.0,0.03107426257916262,-100
"(13918, 13925)",0.0,0,0,0.0,0.016021633461955502,-100
"(8645, 38100)",0.0,0,210,0.0,0.03986123279403575,-100
"(38607, 38628)",0.0,0,176,0.0,0.022538893685301667,-100
"(13311, 16501)",0.0,0,3,0.0,0.017707719650094628,-100
"(8420, 22110)",0.0,0,0,0.0,0.016021633461955502,-100
"(51758, 51759)",0.0,0,0,0.0,0.015258698535195715,-100
"(38012, 32055)",0.0,0,18,0.0,0.018463025227586815,-100
"(42169, 42171)",0.0,0,0,0.0,0.015258698535195715,-100
"(38522, 38787)",0.0,0,150,0.0,0.031837197505922406,-4
"(9870, 7117)",0.0,0,0,0.0,0.016021633461955502,-100
"(14296, 43010)",0.0,0,0,0.0,0.016021633461955502,-100
"(38812, 43610)",0.0,0,38,0.0,0.03516644338669326,-100
"(12158, 17117)",0.0,0,6,0.0,0.01770009030082703,-100
"(8390, 44955)",0.0,0,0,0.0,0.015258698535195715,-100
"(38510, 8551)",0.0,0,272,0.0,0.0269667509147114,-100
"(38688, 23557)",0.0,0,20,0.0,0.021537379088790047,-100
"(38010, 8575)",0.0,0,63,0.0,0.0213803184895374,-100
"(38594, 49222)",0.0,0,0,0.0,0.01947140394963449,-100
"(38071, 38820)",0.0,0,234,0.0,0.03111388712282439,-100
"(42779, 42780)",0.0,0,0,0.0,0.015258698535195715,-100
"(27389, 27390)",0.0,0,9,0.0,0.016021633461955502,-100
"(8478, 8506)",0.03571428571428571,1,208,0.3898712452512801,0.0260030660955931,-100
"(8457, 8586)",0.06666666666666667,1,63,0.45511961331341866,0.019864673306801875,-5
"(15491, 28110)",0.0,0,0,0.0,0.01609792695463148,-100
"(2280, 14969)",0.0,0,0,0.0,0.015258698535195715,-100
"(38273, 38300)",0.038461538461538464,1,182,0.40242960438184466,0.05056558069440214,-100
"(32789, 32801)",0.0,0,0,0.0,0.01678456838871529,-100
"(12584, 6418)",0.0,0,4,0.0,0.016021633461955502,-100
"(38063, 8558)",0.0,0,72,0.0,0.022089941537763412,-100
"(38653, 38664)",0.0,0,160,0.0,0.02379749035186427,-100
"(2816, 5532)",0.0,0,0,0.0,0.01609792695463148,-100
"(38669, 12066)",0.0,0,22,0.0,0.023357536289369624,-100
"(38779, 14721)",0.0,0,48,0.0,0.028329757636875452,-100
"(38646, 38226)",0.0,0,160,0.0,0.03209712925236508,-100
"(27419, 27425)",0.0,0,0,0.0,0.01777638379350301,-100
"(1322, 1323)",0.0,0,0,0.0,0.015258698535195715,-100
"(38168, 38187)",0.03571428571428571,1,190,0.3789231816899512,0.03597465284800844,-100
"(38611, 38836)",0.0,0,247,0.0,0.036738302888933774,-3
"(48904, 49242)",0.0,0,1,0.0,0.01609792695463148,-100
"(38007, 5420)",0.0,0,14,0.0,0.01678456838871529,-100
"(37997, 38160)",0.029411764705882353,1,300,0.36926937306885504,0.029566545198208692,-2
"(46557, 46560)",0.0,0,0,0.0,0.016021633461955502,-100
"(31956, 44982)",0.0,0,0,0.0,0.015258698535195715,-100
"(37986, 38842)",0.0,0,252,0.0,0.042344463743204885,-100
"(2412, 31598)",0.0,0,0,0.0,0.016021633461955502,-100
"(38034, 8550)",0.0,0,368,0.0,0.03261147618404616,-100
"(1823, 34039)",0.0,0,0,0.0,0.015258698535195715,-100
"(22829, 37988)",0.0,0,132,0.0,0.016021633461955502,-100
"(3871, 3874)",0.0,0,0,0.0,0.015258698535195715,-100
"(38184, 38236)",0.0,0,117,0.0,0.04005485173199692,-100
"(8539, 8434)",0.05263157894736842,1,99,0.43429448190325176,0.021192440186768483,-100
"(38582, 38823)",0.034482758620689655,1,209,0.33380820069533407,0.03623349476479628,-2
"(38630, 38775)",0.030303030303030304,1,289,0.36926937306885504,0.039620271828902466,-2
"(21423, 30244)",0.0,0,1,0.0,0.015258698535195715,-100
"(1351, 39455)",0.0,0,0,0.0,0.015258698535195715,-100
"(45181, 44003)",0.0,0,2,0.0,0.01678456838871529,-100
"(8429, 38491)",0.0,0,10,0.0,0.01762379680815105,-100
"(38611, 38076)",0.0,0,247,0.0,0.022940705571438534,-100
"(38736, 38752)",0.0,0,162,0.0,0.041291575855291,-100
"(8471, 8629)",0.0,0,90,0.0,0.033719428038182474,-3
"(1160, 16453)",0.0,0,2,0.0,0.01610555630389908,-100
"(38680, 38851)",0.0,0,228,0.0,0.043174038541019935,-3
"(3581, 4335)",0.0,0,0,0.0,0.015258698535195715,-100
"(38804, 38845)",0.0,0,168,0.0,0.04759261378204112,-100
"(28920, 34288)",0.0,0,0,0.0,0.015258698535195715,-100
"(38075, 13404)",0.0,0,15,0.0,0.020891551179045925,-100
"(32547, 32551)",0.0,0,0,0.0,0.015258698535195715,-100
"(643, 8595)",0.0,0,21,0.0,0.0200520889810899,-100
